Event	Purity
0	0.12956810631229235
1	0.8518518518518519
2	0.14220183486238533
3	0.9305555555555556
4	0.85
5	0.8674698795180723
6	0.8809523809523809
7	0.15331010452961671
8	0.16071428571428573
9	0.1076923076923077
10	0.18604651162790697
11	0.08411214953271028
12	0.9615384615384616
13	0.8771929824561403
14	0.1
15	0.16630196936542668
16	0.7959183673469388
17	0.12956810631229235
18	0.17692307692307693
19	0.3220338983050847
20	0.12596401028277635
21	0.7058823529411765
22	0.07017543859649122
23	0.047619047619047616
24	0.8
25	0.07368421052631578
26	0.14942528735632185
27	0.8666666666666667
28	0.8548387096774194
29	0.8787878787878788
30	0.14285714285714285
31	0.9315068493150684
32	0.78
33	0.9615384615384616
34	0.10784313725490197
35	0.8461538461538461
36	0.1206896551724138
37	0.12173913043478261
38	0.16071428571428573
39	0.14220183486238533
40	0.5396825396825397
41	0.16455696202531644
42	0.7209302325581395
43	0.7777777777777778
44	0.9090909090909091
45	0.12956810631229235
46	0.273972602739726
47	0.16630196936542668
48	0.1206896551724138
49	0.7241379310344828
50	0.15331010452961671
51	0.13227513227513227
52	0.9176470588235294
53	0.08609271523178808
54	0.8356164383561644
55	0.92
56	0.07142857142857142
57	0.10784313725490197
58	0.12173913043478261
59	0.15695067264573992
60	0.028089887640449437
61	0.13043478260869565
62	0.16630196936542668
63	0.14
64	0.1076923076923077
65	0.8021978021978022
66	0.15695067264573992
67	0.1553398058252427
68	0.08411214953271028
69	0.15897435897435896
70	0.15897435897435896
71	0.7540983606557377
72	0.5
73	0.18604651162790697
74	0.8431372549019608
75	0.1
76	0.08411214953271028
77	0.7777777777777778
78	0.07142857142857142
79	0
80	0.94
81	0.10344827586206896
82	0.10784313725490197
83	0.8282828282828283
84	0.8658536585365854
85	0.7640449438202247
86	0.13333333333333333
87	0.875
88	0.92
89	0.16455696202531644
90	0.17692307692307693
91	0.13227513227513227
92	0.10227272727272728
93	0.08571428571428572
94	0.273972602739726
95	0.16630196936542668
96	0.15331010452961671
97	0.1206896551724138
98	0.12956810631229235
99	0
100	0.1206896551724138
101	0.9074074074074074
102	0.8983050847457628
103	0.1774193548387097
104	0.028089887640449437
105	0.14942528735632185
106	0.10227272727272728
107	0.19879518072289157
